date,death,vac,death_index,vac_index
2020-03-01,73.57143,0,0.496366414788827,0
2020-03-02,60.42857,0,0.407695115369046,0
2020-03-03,58.857143,0,0.397093125084334,0
2020-03-04,62.42857,0,0.421188571043044,0
2020-03-05,69.71429,0,0.470343340979625,0
2020-03-06,75.57143,0,0.509859870462826,0
2020-03-07,81,0,0.546484954796923,0
2020-03-08,92.71429,0,0.625518081230603,0
2020-03-09,115,0,0.775873701254891,0
2020-03-10,130,0,0.877074618809877,0
2020-03-11,156,0,1.05248954257185,0
2020-03-12,186.85715,0,1.26067433544731,0
2020-03-13,218.57143,0,1.47464195115369,0
2020-03-14,261.2857,0,1.76282350559978,0
2020-03-15,379.14285,0,2.55797362029416,0
2020-03-16,427.85715,0,2.88663574416408,0
2020-03-17,487.14285,0,3.28662022669006,0
2020-03-18,539.7143,0,3.64130549183646,0
2020-03-19,609.2857,0,4.11068479287546,0
2020-03-20,681.1429,0,4.59548576440426,0
2020-03-21,775.8571,0,5.23449669410336,0
2020-03-22,1385.2858,0,9.34614626905951,0
2020-03-23,1475.1428,0,9.95238699230873,0
2020-03-24,1567.7142,0,10.5769410335987,0
2020-03-25,1690.4286,0,11.4048616920793,0
2020-03-26,1805.5714,0,12.1816988260694,0
2020-03-27,1949.4286,0,13.1522642018621,0
2020-03-28,2120.1428,0,14.3040264471731,0
2020-03-29,3183.4285,0,21.4777256780461,0
2020-03-30,3358.8572,0,22.6612953717447,0
2020-03-31,3596.5715,0,24.2650890568074,0
2020-04-01,3815.1428,0,25.7397301308865,0
2020-04-02,4075.5715,0,27.49677169073,0
2020-04-03,4356.2856,0,29.3906733234381,0
2020-04-04,4623.7144,0,31.1949426528134,0
2020-04-05,5263.7144,0,35.5128484684928,0
2020-04-06,5546.4287,0,37.4202449062205,0
2020-04-07,5829,0,39.3266765618675,0
2020-04-08,6071.857,0,40.9651666441776,0
2020-04-09,6339.143,0,42.7684725408177,0
2020-04-10,6611.857,0,44.6083996761571,0
2020-04-11,6822.857,0,46.0319592497639,0
2020-04-12,6811.4287,0,45.9548556200243,0
2020-04-13,6968.857,0,47.0169815139657,0
2020-04-14,7016.2856,0,47.3369693698556,0
2020-04-15,7109.2856,0,47.9644150586965,0
2020-04-16,7191.4287,0,48.5186121980839,0
2020-04-17,7264.4287,0,49.0111233301849,0
